c_aac182,样本数,SHAP均值,就业率,失业率
50399,3,0.21772417058231971,0.6666666666666666,0.33333333333333337
50400,30,0.18062669259598732,0.8666666666666667,0.1333333333333333
50401,7,0.0029700337098284408,0.42857142857142855,0.5714285714285714
50415,3,0.13867644669332557,1.0,0.0
50416,6,0.1766255429032757,0.8333333333333334,0.16666666666666663
50417,1,0.21859766704945652,1.0,0.0
50419,1,0.2218820739430401,1.0,0.0
50422,1,-0.1362438509501317,0.0,1.0
50424,1,0.016703165528751344,0.0,1.0
50464,1,0.20659443644754474,1.0,0.0
50469,1,0.43902137512617334,1.0,0.0
50500,6,0.3281370461959426,1.0,0.0
50599,1,0.38377681831622523,1.0,0.0
60000,2,0.2263643402033858,0.5,0.5
60100,5,0.17226674704017175,0.8,0.19999999999999996
60101,1,0.08776987757813581,1.0,0.0
